,5,10,20,50,100
2012-11-12,185330.00000000012,664460.0000000013,414409.99999999965,144129.99999999997,492680.00000000023
2012-11-13,186020.0000000001,665150.0000000013,415099.9999999996,145509.9999999999,494060.0000000002
2012-11-14,186020.0000000001,665150.0000000013,415099.9999999996,145479.9999999999,494060.0000000002
2012-11-15,188630.0000000001,667760.0000000013,417709.9999999996,148089.9999999999,499280.0000000002
2012-11-16,185540.0000000001,664670.0000000013,414619.9999999996,144999.9999999999,493100.0000000002
2012-11-19,178550.0000000001,657680.0000000013,407629.9999999996,138009.9999999999,479120.0000000002
2012-11-20,185900.0000000001,665030.0000000013,414979.9999999996,145359.9999999999,493820.0000000002
2012-11-21,184010.00000000006,663140.0000000013,413089.99999999953,143469.99999999988,490040.0000000001
2012-11-23,181250.00000000006,660380.0000000013,410329.99999999953,140709.99999999988,484520.0000000001
2012-11-26,182840.00000000006,661970.0000000013,411919.99999999953,142299.99999999988,487700.0000000001
2012-11-27,184520.00000000006,663650.0000000013,413599.99999999953,143979.99999999988,491060.0000000001
2012-11-28,186560.0000000001,665690.0000000013,415639.99999999953,146019.9999999999,495140.0000000002
2012-11-29,181970.0000000001,661100.0000000013,411049.99999999953,141429.9999999999,485960.0000000002
2012-11-30,179480.0000000001,658610.0000000013,408559.99999999953,138939.9999999999,480980.0000000002
2012-12-03,178880.0000000001,658010.0000000013,407959.99999999953,138339.9999999999,479780.0000000002
2012-12-04,180710.0000000001,659840.0000000013,409789.99999999953,140169.9999999999,483440.0000000002
2012-12-05,182540.0000000001,661670.0000000013,411619.99999999953,141999.9999999999,487100.0000000002
2012-12-06,187400.0000000001,666530.0000000013,416479.99999999953,146859.9999999999,496820.0000000002
2012-12-07,188450.00000000006,667580.0000000013,417529.99999999953,147909.99999999988,498920.0000000001
2012-12-10,189650.0000000001,668780.0000000013,418729.99999999953,149109.9999999999,501320.0000000002
2012-12-11,188990.0000000001,668120.0000000013,418069.99999999953,148449.9999999999,500000.0000000002
2012-12-12,186020.00000000006,665150.0000000013,415099.99999999953,145479.99999999988,494060.0000000001
2012-12-13,188630.00000000006,667760.0000000013,417709.99999999953,148089.99999999988,499280.0000000001
2012-12-14,186200.00000000006,665330.0000000013,415279.99999999953,145659.99999999988,494420.0000000001
